청원인,청원명,청원의 취지,청원의 내용,청원분야,청원결과,청원종료일,청원동의시작일,청원동의종료일,청원 동의수
이**,식도암 면역항암제 옵티보 여보이 병용요법 식약처 1차 치료제 승인에 관한 청원,식도암 면역항암제 옵티보 여보이 병용요법 식약처 1차 치료제 승인,"안녕하세요 :) 
식도암 치료를 받고 있는 환우 보호자 이도휘라고 합니다.
저희 아버지는 작년 11월에 식도암 4기 판정을 받으신 후 현재까지 치료에 집중하고 계신 상태입니다. 저희 가족들은 모든 생업이 아버지에게 맞춰져 있다고 과언이 아닐 정도로 아버지의 치료에만 집중하고 있습니다.

저희는 현재 수술이 불가하여 항암으로만 초점을 둬 치료 도중 임상시험의 자격을 얻어 현재 옵디보 및 여보이 임상시험을 앞두고 있는 상태입니다. 

현재로써 치료 할 수 있는 선택지가 없어 하루하루 우울감에 빠져있다 그나마 옵디보라는 치료제로 치료를 할 수 있다는 소식에 가족 모두 희망을 갖고 있는 상태입니다.

솔직한 말씀으로는 암이라는 질병은 직접 겪거나 가족이 걸렸을 경우 외에는 모든 사람들이 그 슬픔이나 힘듦을 피부로 느끼지 못할것이라고 생각합니다. 저 또한 그랬습니다.

특히, 식도암의 경우 다른 질병에 비해 희귀하여 치료제나 별다른 치료 방법이 없다는 것을 느꼈을 때 너무나도 세상이 무너지는 것 같았습니다.

아버지는 살기 위해 무엇이든 하고자 하는데 어째서 왜 살고자 하는 사람에게 치료할 수 있는 약이 한정적이다는 말, 생명을 연장 시킬 수 있는 방법이 많이 없다는 말을 들어야 하는지..

현재는 임상시험의 자격을 얻었지만 이전 치료제가 없어 확인하기 전까지 하루하루 말라가는 아버지의 모습을 보면서 제 자신을 많이 자책하기도 했습니다.

저뿐만 아니라 모든 환우분들의 바람은 치료 할 수 있는 약이 있다면 지푸라기라도 잡아보고 싶은 마음일거라 생각이 듭니다.

그렇기에 현재 옵디보와 여보이가 1차 치료제로 심사중이라는 소식이 환우분들에게는 희망이자 치료 할 수 있는 선택지라 생각이 듭니다.

정말 간곡히 부탁 드리겠습니다.
옵디보와 여보이가 승인이 되어 더욱 많은 암환자분들이 치료를 받을 수 있게 도와주세요.
부탁 드리겠습니다.",보건의료,동의만료폐기,2022-08-07 00:01:00,2022-07-07 17:48:43,2022-08-06 23:59:59,3366
정**,외국인선거권 폐지에 관한 청원,헌법은 국민이 선거권을 가진다고 명시하고 있지 외국인이 선거권을 가지고 있다고 명시하지 않습니다. ,"제24조 모든 국민은 법률이 정하는 바에 의하여 선거권을 가진다.

헌법은 위와 같이 국민이 선거권을 가진다고 명시하고 있습니다. 외국인선거권은 위헌입니다. 분단, 휴전 국가에서 외국인선거권은 국가 안보를 심각하게 위협할 수 있습니다. 지방선거라할지라도 이는 악의를 가지고 있는 외국의 공작 위험이 있을 수 있습니다. 반드시 폐지하길 바랍니다. ",행정/지방자치,동의만료폐기,2022-08-07 00:01:00,2022-07-07 17:48:31,2022-08-06 23:59:59,6748
신**,불법 개도축 행위에 대한 민원및 신고에 무대응하는 김제시청 축산과 담당부서 직무유기행위에 관한 청원,김제시에 불법 도살장이 두번이나 생겼다는건 알고계시나요? 올해 2월달에 고발해서 철거하고 애들 김제보호소로 입소하고 다신 안하겠다는 각서 받은지 겨우 4달됬습니다. 반년도 아니고 4개월이요. 그 기간동안 단한명도 단속하지 않으신것 같더군요. 무려 전북도살장 이라는 이름이 박힌 명함까지 있는 전문업자입니다. 오함마로 때려죽이는걸로 추정되구요. 그런데도 아무런 조치를 못한다니요? 도살현장이 아니라면 아무것도 못하는게 법이라면 저번엔 어떻게 구조하고 각서까지 받아냈나요? 하기 싫어서 안하는것으로 밖에 보여지지 않는 소극행정! 당장 시정해주시길 바랍니다.,"6월30일 김제시 용지면 신정리 소재.. 이미 지난 2월25일 동물구조단체 사단법인 어독스에 의해 고발조치후 철거명령까지 내려진곳에 다시 동일인이 불법도살장을 세우고 도살장비를 갖춰 도살해온 현장목격(다수의 개.염소 사체발견.감금된채 도살대기중인 5마리의개) 주무 부처인 김제시 축산과. 관련부처인 환경과등에 전화로 현장으로 와주실것을 요구하였지만 퇴근시간이 다되간다..우리 업무가 아니다..등등의 사유로 울분을 터지게 하였고 마지못해 축산과 주무관 1인이 현장에 방문하였으나 동물보호법에 근거한 민원인의 요구(불법도축자에의해 좁은뜬장에 감금.방치된 5마리의 개에 대한 긴급격리조치발동)에 자신은 권한이 없다..불법이 아니다..모른다 등의 답변만 내놓았고 민원인들의 독촉에 나몰라식으로 ""됐어""라는 반말만 남긴채 현장을 이탈했습니다.
해당 주무관은 위에 기재한 지난2월25일 사건에도 현장에 있었던 담당자임에도 민원인에게 제대로 된 답변하나 주지않은채 소극행정만으로 대응하다 도망친것이나 다름없습니다 위에 언급한 사단법인 어독스는 김제시 유기견보호소를 대상으로 해마다 수백마리의 유기견을 구조.치료.입양까지 끊임없이 애써온 단체입니다.
사단법인 어독스팀 그리고 단체장인 엄지영님의 피나는 노력으로 김제시는 지금껏 유기견 안락사율 0% 입양률 전국 1위라는 명예를 누리고 있고 그에 대해 도지사님 표창까지 받았던 단체의 노고를 이런식으로 묵살한다는게 이해되지 않습니다. 영광은 김제시가 누리고 뒤치닥거리는 어독스가 하고 있다는 생각이 들 정도입니다.
발이 푹푹 빠지는 뜬장과 깨끗한 사료와 물도 없고 제대로된 햇빛/비 가림막도 없는 환경을 보고도 아프지 않은 이상 격리조취 할 수 없다며 어떠한 방안 제시도 없이 그냥 현장을 떠났습니다. 이런 행정처리가 본인 업무 아닌가요? 김제시 내 불법 도살장이 조속히 철거될 수 있도록 김제시청측에서 나서 주십시오
이에 소극행정 및 동물보호업무가 아닌 동물학대하는 공무원들을 직무유기로 청원 요청드립니다.",농업/임업/수산업/축산업,동의만료폐기,2022-08-07 00:01:00,2022-07-07 17:48:19,2022-08-06 23:59:59,818
박**,수영장 및 워터파크 등의 유가시설 안전법 및 처벌 강화 청원에 관한 청원,"워터파크에서 4살 아이가 물놀이장 바닥 배수구에 팔이 어깨까지 빨려 들어가는 익수 사고가 있었습니다.
자칫 목숨을 잃을뻔한 사고였기에 여름철을 맞이하여 물놀이장을 찾는 많은 사람들에게 위험이 발생할 수 있다는 것을 알리고,
각 물놀이 시설에서도 안전 점검과 안전 관리에 만전을 기할 수 있는 계기가 되기를 바라며 앞으로 이와 같은 사고를 막기 위해
본 청원을 올립니다.","2022년 6월 25일(토) 오후 5시 40분경 4살(39개월) 자녀와 대구시 가창면에 위치한 한 워터파크에서 자녀와 함께 물놀이 도중
어른 종아리 정도 깊이의 어린이 물놀이장 바닥에 위치한 배수구로 자녀의 팔이 어깨까지 빨려 들어가는 아찔한 사고가 있었습니다.
아이는 물속에 잠겨 바닥에 머리를 맞대어 경기를 일으키듯 물속에서 소리 없는 몸부림을 치며 공포의 순간을 마주했습니다.

사고 당시 물놀이장 바닥 배수구 덮개는 탈거 되어있으며, 배수구 근처 바닥에 기포 발생기가 있어 배수구를 쉽게 알아차릴 수 없었습니다.
아이와 함께하던 저희 부모는 사고 장면을 목격하고 즉시 아이를 구조하였습니다.
CCTV확인 결과 사고 직후 아이에게 도착하는 시간 약 2초, 아이를 물 밖으로 빼는데 약 5~6초의 시간이 흘렀습니다.
구조 당시 배수구의 수압은 운동을 하는 건장한 성인 남성인 제가 당겨도 버거운 수압이었습니다.
아이 팔이 다치는 것은 둘째로 두고 우선 물 밖으로 빼내는 것이 급선무였기에 힘껏 당겨 겨우 물 밖으로 아이를 구조할 수 있었습니다.

물속에서 약 7~8초의 시간은 후두가 발달하지 않은 어린아들에게는 치명적인 시간입니다.
그보다 더 아찔한 것은 화장실 등의 이유로 제가 잠시 자리를 비웠다면 아이 엄마는 강한 수압으로 아이를 구조하지 못하고
눈 앞에서 죽어가는 모습을 지켜볼 수 밖에 없었다는 사실이 너무나 충격적입니다.

사고 당시 실내 워터파크 안에 안전요원은 단 한명도 보이지 않았으며, 제가 직접 찾아 다녀 구명조끼 반납하는 곳 근처에서 겨우
안전요원 한 명을 찾을 수 있었습니다.

이 사고에 대해 워터파크 측은 '누군가의 알 수 없는 사람에 의해 배수구 구멍이 열린 것 같다'라고 이야기하며 실내는 
'물놀이장이 아닌 체온유지시설'이라며 안전요원이 없어도 된다는 식의 해명을 내 놓았습니다.

사고장소는 어린이 풀이며 실내 또한 어린이 풀 및 키즈풀, 아쿠아 플레이등의 시설이 있으며, 이는 유기시설에 해당하는 것으로 알고 있습니다.
안전요원의 배치만 있었더라도 '누군가의 알 수 없는 사람에 의해' 배수구 덮개가 열리는 일은 없거나 혹은 배수구 덮개가
열리더라도 즉시 조치 가능했을 것이라 생각됩니다.

또 이 사고가 무서운 것은 순간적으로 일어나 물속으로 빨려 들어가는 것이 단 1초도 안되는 시간이었으며,
물속이라 소리도 없기에 주변에서 물놀이 하던 그 누구도 사고를 인지하고 있지 못했습니다.
수영장, 목욕탕 등 매년 배수구로 인한 사망 사고가 일어나고 있습니다.

현재도 아이는 사고 트라우마로 인해 밤마다 잠에서 깨어 울부짖으며, 물에 대한 공포가 극도로 심해 
물을 좋아하던 아이가 씻기를 거부하고 일상생활 중 작은 구멍만 보아도 팔이 들어가서 '아야해' 라고 이야기 하며 무서워 합니다.
트라우마가 심해 현재 심리치료도 받고 있습니다.

조금만 조심하고 주의 한다면 이런 비극적인 사고는 막을 수 있을 것이라 생각됩니다.
이번을 계기로 모든 물놀이 시설에서 안전 점검과 안전 관리에 만전을 기할 수 있도록 
유가시설 안전관리에 관한 법과 처벌을 강화하여 주시기 바랍니다.",문화/체육/관광/언론,동의만료폐기,2022-08-07 00:01:00,2022-07-07 17:48:01,2022-08-06 23:59:59,154
이**,소상공인 코로나 지원금 추가 신청에 관한 청원,"<< 이미 지원금 받으신 소상공인 분들께서도  동의 꼭 꼭 부탁드립니다. ㅠ.ㅠ >>
코로나 지원금이 집합제한 만 해당되는 걸로 알고 그동안 지원금 신청을 하나도 안했는데  
한번 더 지난 지원금 신청을 몰라서 못한 사업자에게  신청할수 있는 기회를 주시기 바랍니다. ㅠㅠㅠㅠㅠ
지원조건에 해당되나 미처 연락을 못받거나  해당이 안되는줄 알고 신청을 안한신 사업장에 신청할 수 있는 기회를 주십시요. ㅠㅠㅠ  부탁드립니다.","<< 이미 지원금 받으신 소상공인 분들께서도  동의 꼭 꼭 부탁드립니다. ㅠ.ㅠ >>
나라에서 소상공인들을 위해 지원금을 지원해주셔서 어려운 가운데 모두들 감사하게 생각합니다.

저희는 당연히 집합제한 업장만 해당되는줄 알았어요.. ㅠㅠㅠㅠ
지난주에 주변 지인들에게 얘기 듣고 보니 이미 신청기간이 끝난 뒤였읍니다.
안내문자라는게 많은 분들께 연락하다보니 누락될수도 있고 늦게 알게 될수도 있는데
마지막으로 추가 신청 할 수 있는 기회를 주시길 간절히 부탁드립니다.
 
4대보험 공단들은  두루누리, 일자리 안정자금등  아주 소액이라도  꼭 신청자한테 우편으로 통보해주시고 
혹시라도 신청대상자들이 신청을 다 했는지 확인차 안내장도 꼭 우편으로 다시 한번 보내주시는데..
코로나 지원금은 대상이로고 안내를 받은적이 없습니다..  

두루누리 지원금, 일자리 안정자금 처럼 1-2만원도 아니고 100만원 300만원이란 돈은 저희 처럼 소기업인들에게 있어 
정말 큰 금액 입니다.
어려운 소상공인을 위한 지원정책이고 지원금인 만큼 해당 지원 요건이 되나 몰라서 신청을 못하거나
지원요건을 이해하지 못해 지원금을 못 받으신 분들도 혹시나 놓친 부분이 있을까 다시 한번 심사하고 받을수 있는 기회를 주시기 바랍니다.
행정이란것이 개개인에 또는 모든 일에 맞출수 없다는걸 잘 압니다.

다만 대상자인데 미처 알지 못한 어르신들도 주변에 많이 있습니다.
안내장은 전혀 못받고 SMS로 도 못받거나, 받았다 해도 어르신들은 긴 내용을 이해못하신 분들도 많습니다.
sms 통보는 연세있는 어르신들에게는 취약하다고 생각이 됩니다. 스팸 문자로 인지하시는 분들도 많고, 자동으로 스팸문자함에 들어가서 확인을 못하신 분들도 많습니다.
공단에서 처럼  우편으로라도 안내장을 주셨다면... 이렇게 놓치는 일은 없었을 겁니다. 

sms 통보는 스팸으로 인식될수도 있고, 어르신들에게도 너무 공평하지 않다고 생각됩니다.
추가 신청 기간을 주어 미처 신청하지 못해 힘들고 낙담한 분들께 기회를 주시기 간곡히 바랍니다.
저희에겐 정말 크고 절실한 지원금입니다.

이의신청조차 신청자에 한해서만 받고 지원요건에 해당하는 업체는 추가신청의 기회도 이러한 내용의 이의도 받지 않은 소상공인방역지원에 대해 
다시 한번 고려해 평등히 기회를 주시길 부탁드립니다.",산업/통상,동의만료폐기,2022-08-07 00:01:00,2022-07-07 17:48:55,2022-08-06 23:59:59,169
정**,저희 4살된 딸아이가 차에 깔려서 골반 뼈가 부러졌습니다 도와주세요에 관한 청원,캠핑장 교통사고 인피도주 그리고 아버지의 가슴아픈 목소리 두번다신 누구에게도 이런일이 없었으면 좋겠습니다,"2022녀 7월 3일 오전 10시 18분 용인시(양지동)근처에 있는 은이골이라는 캠핑장이 있습니다
4살배기 딸아이는 오빠를 따라서 계곡에서 놀다가 캠핑사이트(저희텐트) 로 오는도중 신발이 벗겨져
바닥에 앉아서 신발을 고쳐신고 있는 도중 한 SUV차량이 캠핑장을 빠져나가려는 듯 보였습니다(CCTV에서요)
그런데 아이가 앉아있는것을 못볼수도 있다 생각합니다 하지만 급한 좌회전 아이를 뒷바퀴에 깔아뭉겠습니다 차는 방지턱 넘듯이 출렁
거렸구요 상식적으로 차가 꿀렁 했으면 모든 운전자는 내려서 무슨일인가 확인을 했을 겁니다 하지만 그 차주분은 그냥 아이를 깔아뭉게후 차에내리지도 않고 바로 주행해서 캠핑장을 빠져 나갔습니다 아이는 엎어져 있는 상태에서 도와주세요 살려주세요를 외쳤다 하더군요
옆에 캐핑을 정리하신 아주머니께서 아이한테 급하게 가서 저희 텐트가 쳐져있는 곳으로 아이를 데려다 주었습니다 
그때까지는 아이가 차에 깔렸다는걸 확인하지 못했습니다 아이가 그러더군요 엄마 차가 나를 밟고 지나갔어요 이 얘기를 듣자마자 저는 
캠핑장 CCTV를 확인했습니다 보자마자 처참한 광경을 보고 맨탈이 나갔습니다 급하게 119를 부르고 양지 파출소에 신고를하고 아이를 급하게 아주대학교 병원으로 보냈습니다 주차장도 아닌곳이였고 서행도 해야하는부분이고 캠핑장은 어른 아이들도 많은데 그렇게 전방 주시를 하지않고 그렇게 깔아 뭉게면서 확인도 안하고 그냥 가는게 말이 됩니까... 정말이지 저 우리딸 잃는줄 알았습니다 급하게 아주대 병원 이송해 복부 및 외상 CT를 찍은결과 골반뼈가 부러졌더라고요 천만 다행입니다 만약 머리를 밟고 지나갔더라면 우리애는 지금 여기 있을까요?
차주는 중국인 교포더군요 거기서 한번 더 놀랬습니다 교포? 이해합니다 하지만 그분들도 자식이 있는데 만약 자기 자녀들이 이사고를 당했다면... 이해 할까요? 이런일이 두번다신 일어 나지 않았으면 좋겠습니다 저희 아이처럼 제2의 아이가 다치는 모습.... 없었으면 좋겠습니다 이부분 필히 뭔가 조치를 해야 될것 같습니다 정말 아직도 맨탈이 잡히지 않고있습니다 현 용인동부경찰서 교통계에서 조사 진행중에있습니다. 도와주세요 여러분  
",문화/체육/관광/언론,동의만료폐기,2022-08-06 00:01:00,2022-07-06 17:56:39,2022-08-05 23:59:59,309
김**,주식시장 안정화에 관한 청원,다른 아시아국가대비 한국시장은 너무 취약합니다.,"주식시장의 안정화가 필요합니다.
이번에 내놓은 안정화 정책은 국민들이 알아서 살아남으라는것 같습니다.
국민들이 한시적 공매도 금지를 원합니다. 
한국시장은 파생시장이 너무 발달되서 아시아국가중 공매도에 제일 취약합니다.
또한 연기금이 국내 시장을 망치고 있습니다. 
제발 국민연금 국내 주식비중 늘여주세요.
국민들 연금으로 수익도 못내고 있는 해외쪽으로 왜 계속 투자하는지 이해가 안갑니다.
시장이 어려울때 연금이 시장을 구원해주는것도 연금의 역할입니다.
제발 국민의 소리에 귀 기울여주세요.
부탁드립니다.",재정/세제/금융/예산,동의만료폐기,2022-08-06 00:01:00,2022-07-06 17:55:27,2022-08-05 23:59:59,564
황**,남해 소망의집 중증장애인거주시설 종사자의 인권유린에 관한 청원,인권을 등에 업은 공익제보자의 갑질 및 인권유린과 그의 이상행동에 대한 정신분석 및 장애인시설 종사자로서의 적합성에 대한 판단을 의뢰하고자 합니다. ,"최근 장애인시설 종사자들의 장애인 학대혐의 등, 장애인의 인권에 대한 관심이 높아지고 있습니다. 좋은 칼을 의사가 들면 사람을 살리지만 강도가 들면 살인의 도구가 될 수 있습니다. 

여기 '인권'이라는 도구를 악용하여 모든 처벌에서 보호받게 된 공익제보자가 있습니다. 

그는 자신이 아는 모든 지식(법), 인맥(변호사, 공무원, 경찰 등), 종교인까지 동원하여  지역장애인시설을 폐쇄하고자 인권유린을 서슴지 않고 자신이 하고 싶은 말과 행동들을 마음껏 하고 지내는데도 그를 저지할 수 있는 사람이 아무도 없습니다.  
돈과 권력이 있는 사람들 앞에서는 설설 기고 우리처럼 돈 없고 뒷배경 1도 없는 사람들은 그의 놀잇감처럼 끊임 없이 터무니 없는 요구를 들어주고 그 잘못된 행태를 묵인해야 합니다.  

부디 청원합니다. 

사람의 실수야 충분히 있을 수 있습니다. 특히 난폭하고 사나운 특성을 가진 장애인을 돌보다 보면 사고가 날 수도 있습니다. 
그러나 장애인을 케어하는데 한 번이 아닌 두 번 세 번의 반복적인 실수는 고의적 학대와 다름없습니다. 
어떻게 이 많은 정황적 증거과 의혹이 이 공익제보자 한 사람 주변에만 몰려 일어나는지, 또 관련 공무원들은 왜 그만 감싸고 도는지 우리는 그저 의아하기만 합니다. 

진실이 무엇인지 알고 싶은 마음도 크지만 당장 이 공익제보자의 케어를 받아야만 하는 시설장애인의 입장에서 조심스럽게 청원하는 바는, 중립적이고 오랫동안 실무에서 풍부한 경험을 가진 전문가가 이 공익제보자의 정신적, 정서적 정상 유무를 판단하여 주십사하는 것입니다. 

장애인시설 종사자의 특성상 기본적인 케어란, 모든 상황에서 장애인을 우선 배려하고 그 말에 귀를 기울여 의사를 존중하고 소통할 줄 아는 것입니다. 그러나 오직 자신의 뜻만 옳고 자기행동만 정당하다 주장하는 그의 행태를 보면 도무지 상식적인 사고로 이해가지 않는 부분이 너무나 많습니다. 

우리는, 중증장애인거주시설 남해소망의집 공익제보자가 과연 이 일을 하기에 적합한 온전한 정신과 마음을 가진 사람인지 알고 싶습니다. 
부디 도와주십시오.   

이에 고통받는 사람들이 힘을 모아 다음의 청원서를 작성하였습니다. 

제발 아무라도 좋으니 법을 잘 알고 우리같은 사람들의 일에 관심있는 선량한 분들의 도움을 요청합니다. 제발 도와주십시요. ",보건의료,동의만료폐기,2022-08-06 00:01:00,2022-07-06 17:55:16,2022-08-05 23:59:59,254
강**,학교 내 촉법소년 통제방안 대책 마련에 관한 청원,수원 초등학교 학교 내에서 벌어진 교사와 학생들에게 톱을 휘두르며 살해 협박을 한 사건과 관련하여 교사와 선량한 아이들을 위협하고 폭력에 노출 시키는 교내 촉법 소년을 통제할 수 있는 방안을 마련해주기를 바람. ,"지금 우리나라 교사들의 교권은 바닥으로 추락해 있습니다.
수원의 모 초등학교에서 일어난 담임교사 톱 살해 협박 사건에서 볼 수 있듯이, 
학교에서 톱을 휘두르며 교사와 선량한 학생들에게 살해 협박을 해도 
촉법 소년을 통제할 수 있는 어떠한 방안도 학교에서는 마련되어 있지 않습니다. 
우리나라 교사와 선량한 학생들 모두 이러한 촉법소년의 무법지대와 같은 폭력에 그대로 노출되어 있습니다. 

따라서 학교내에서 촉법소년을 통제할 수 있는 방안을 마련해주시기를 바랍니다.

첫째, 미국과 같이 교내에 상주하는 보안관 제도를 법적으로 보장해주십시오.
현재의 은퇴한 퇴직 노인의 힘만으로는 학생들의 문제행동을 막기에는 역부족이고, 
적극적으로 싸움과 문제 상황에 개입하는 것을 본 적이 없습니다.

무술을 배우고 제압을 강하게 할 수 있는 보안관이 학교에 상주하여 문제 상황이 생길 때마다 개입하여
촉법 소년 아이들을 통제할 수 있는 학교 보안관 제도를 보장해주십시오.

둘째, 학교내에서 문제를 일으키는 촉법 행동을 하는 아이를 그 즉시 분리시킬 수 있는 타임아웃 제도를 운영해주십시오.

촉법 행동을 했을 때 그 즉시 분리되지 않는다면 촉법 행동을 하는 아이는 계속 학교내에서 촉법 행동을 할 것이고,

그 피해는 고스란히 선량한 아이들이 받게 될 것입니다.

교내에서 살해당하는 아이들이 발생하지 않도록

강력하게 방안을 법으로 제정할 것을 간절히 촉구합니다. ",교육,동의만료폐기,2022-08-06 00:01:00,2022-07-06 17:56:24,2022-08-05 23:59:59,303
정**,"상속제, 증여세 폐지에 관한 청원","사유재산의 자유를 억압하고 통제의 수단으로 사용될 수 있는 상속세, 증여세 폐지해야 한다고 생각합니다. ","개인의 재산은 각종 세금을 모두 내고 형성한 사유재산입니다. 이는 보호되어야 하고 사용처에 대해서도 자유가 보장되어야 합니다. 상속세, 증여세는 기업통제수단, 가정통제수단으로 사용될 수 있고 기업과 가정의 독특한 특성을 인정하고 서민의 중산층으로의 진입 그리고 기업의 중견기업, 대기업으로의 진입과 존속을 위해서도 폐지돼야 한다고 생각합니다. 상속세 문제로 토종기업이 해외기업이 되고 어렵게 가난을 벗어난 가정이 상속세, 증여세 등으로 국가에 사유재산을 빼앗겨서는 안 된다고 생각합니다. ",재정/세제/금융/예산,동의만료폐기,2022-08-05 00:01:00,2022-07-05 14:16:52,2022-08-04 23:59:59,530
정**,국민예산거부권에 관한 청원,국민의 동의 없이 특정 집단을 지원하는 예산에 대한 국민거부권이 있어야 합니다. ,"국민은 동의하지 않았는데 국회의원들이 맘 대로 정당보조금, 선거보조금, 특정 단체 지원금 등을 마구 만들어 대고 있습니다. 이 때 국민 25만 명이 문서나 인터넷으로 동의하면 국민투표를 하여 폐지할 수 있는 제도가 있어야 합니다. 스위스는 5만 명 동의로 전개하고 있습니다. 나라의 돈은 국민의 돈입니다. 이 돈을 지켜야 합니다. ",재정/세제/금융/예산,동의만료폐기,2022-08-05 00:01:00,2022-07-05 14:17:05,2022-08-04 23:59:59,228
홍**,간병 보호자의 PCR 검사비용 부담 면제에 관한 청원,간병하는 모든보호자들에게 pcr검사비용의 부담을 덜어줌으로써 환자케어에 집중하며 경제적절감에 도움이 되고자 요청합니다.,"안녕하세요 
저희 어머니는 코로나의 시작과 동시에 갑작스러운 뇌출혈로 병원에서 3년째 투병중이십니다. 처음에는 병마와 잘 싸우고 계시던중이라 코로나의 힘든상황속에서도 가족이 견딜 수 있는 희망이 있었습니다. 허나 그 희망은 오래 기다려주지 않더군요. 또한번의 뇌출혈로 깨어있는 어머니의 모습은 희망이 되어버렸고, 누워서 곤히 주무시는 어머니의 모습만 어느덧 2년차가 되어가고 있습니다. 

코로나가 점점 회복되어가는 분위기속에 이제서야 맘편히 어머니를 뵙고 간병이 자유로워질 수 있을거라는 생각도잠시 병원에서는 환자보호차원으로 간병 및 간병교대시 pcr검사를 반드시 필요로하고 있습니다. 그나마 입원확인서를 인정해주던 보건소마저 점점 사라지면서 병원비,간병비로도 부담이 큰 상황에 이제는 10만원이 훌쩍 넘는 검사비용까지 감당하게되어 마음이 무겁게만 느껴집니다.

며칠전 간병하던 보호자가 아내의 치료비를 위해 하루하루 복권을 구매해 당첨된 기사를 읽었습니다. 그것은 절대 낭만이아닌, 병마와 싸우는 가족의 현실이었에 그 마음이 누구보다 이해되고 무엇보다 필요한분에게 행운이 찾아가서 더없이 감사했습니다.

존경하는 대통령님 그리고 국민여러분
코로나는 끝이 보이고 있지만, 보이지않는 곳에서 아직도 하루하루 환자의 회복을 바라보며 긴시간 힘든 싸움을 하고 있는 가족들이 많이 있습니다. 의학적으로 수백가지로 회복할 수 없는 이유가 있을지라도 어쩌면 가족이라는 말이 유일한 이유이자 희망이 아닐까 싶습니다. 

환자와 함께 힘든싸움을 하고 있는 보호자들에게 조금이나마 위로와 힘이 되기를 바라며 “사설병원의 검사비용축소 및 보건소 무료검사”를 간절히 청원합니다.",보건의료,동의만료폐기,2022-08-05 00:01:00,2022-07-05 14:14:46,2022-08-04 23:59:59,149
김**,"아동학대 정서적학대, 방임에 관한 청원","신체적학대와, 성적학대만이아닌 정서적학대와방임 또한 아동학대입니다","안녕하세요 저는 33개월 딸을 키우는 엄마입니다.
최근 저희 아이가 어린이집 하원을가면 늘 시무룩하며 선생님을거부하며 등원을 거부하는 일이있었습니다.무슨일이냐물으면  집에가서얘기하겠다며 선생님 눈치를보았습니다
선생님과 몇차례 상담을했지만 어린이집에선 문제가없다는 답변을받았습니다.
선생님과상담통화중 조금의아한 답변을들었습니다.
관심을받고싶어 질문을많이한다하시며 처음질문엔대답해주시지만 반복되는질문은 모른척하신다는것이였습니다.
너무걱정이되서 원장님과상담을했습니다.
상담당일 이런일이있었다며 원장님이 말씀하신부분은 아이가 숲체험을다녀오는길 버스안에서 잠든 친구를깨우는선생님의 모습을보며 아이는 갑자기자는척을하고있었다며 똑똑하다며 말씀을하시더라구요 그러면서 그래서선생님이모른척하셨더니 친구가다내리니 걸어내려오더라는것입니다.
선생님의 반응을기대하며 자는척을하고있었던아이를생각하니 넘 마음이아팠습니다. 근데 일부로모른척하셨다고.. 다시 눈을뜨고스스로 다시 버스를내리던 아이의마음이 차마상상할수없었습니다..
이야기를듣고 넘 가슴이아팠지만 참았습니다.
그리고 최근 가장 아이의표정과 기분이안좋았던날 Cctv확인을 요청했습니다 30분정도를보는데 정말 눈물밖에안나더라구요
마스클안쓰고있는선생님과 몇몇아이들 .'..
하지만저희아이가 마스크를 쓰지않았다고 힘으로 어깨를잡으시며 화난표정의얼굴로 혼을내시며 확 돌아세워 안쓰겠단 아이의목에 마스크를 씌우십니다..' 
그영상이후 바로 아이를데리고 집으로왔습니다
신랑과다시영상을보러갔고 한시간가량 CCTV를봤는데 정말 정서적학대와방임그자체였습니다...
신체적아동학대,성적아동학대만이 아동학대가아니란생각이들었습니다.
스스로화장실에가서 볼일을보고 바지를 다올리지못하고 나왔지만 보고도 올려주시지않는선생님, 자고있는아이의이불을 깨우는행위없이 개고계신선생님 , 관심받고싶어 여러행동을하지만 못본척넘어가는선생님, 아이들앞에서 바지를 훌떡내려버리는선생님., 젖은옷을 친구들앞에서 훌떡벗겨버리는선생님, 자고일어난아이를 치켜세워 오후간식식탁에앉혀놓고 엎드려자는아이를 내버려두는선생님, 일어난지1분도안된 아이에게 고구마를 주고는 다른식탁에서 아이의간식전에 고구마를드시고계신선생님, 물을쏟았다고얘기했지만 10분이상 이야기를듣고도 본인의할일을하고계신선생님, 본인은마스크를 쓰지않으시면서 강압적으로 아이를부여잡고 안쓰겠단아이의어깨를휙돌려 마스크를억지로 씌우시는선생님 ....아이가질문을많이한다고 못들은척했다는선생님,  종이를주고는 색칠하라하고 화장을하고계신선생님 아이들의자유활동놀이시간에 지겨봄이없는선생님....
정말 이런선생님이 정서적으로가장중요한시기의아이들을 보육하실자격이있으신건가요?
정말 하나하나 꼼꼼하게 수사해주실것을 청원합니다
부탁드립니다 아직 3돌도되지않은 아이는 그감정을표현할단어조차몰라 무슨말을해야하는지모르겠다합니다...
꼭 이런선생님이 처벌받을수있게도와주세요
",보건의료,동의만료폐기,2022-08-05 00:01:00,2022-07-05 14:16:16,2022-08-04 23:59:59,177
